zipcode,median_salary,number_of_houses
07001,96750,1649
07002,70011,9243
07003,108649,7300
07004,182188,690
07005,134947,1815
07006,191500,2519
07008,82213,2140
07009,179091,1385
07010,103824,3556
07011,71797,3286
07012,135096,1614
07013,132188,3733
07014,169265,607
07016,196190,2647
07017,45719,6085
07018,59042,5480
07020,154607,2946
07021,250000,120
07022,49167,2401
07023,212782,404
07024,116964,7974
07026,68415,3176
07027,131429,698
07028,250000,314
07029,49850,3407
07030,229712,15528
07031,124375,2103
07032,68087,3556
07033,115395,659
07034,126771,1509
07035,123636,1371
07036,90119,4982
07039,239915,1841
07040,212742,1848
07041,250000,653
07042,159934,3932
07043,250000,687
07044,221806,1720
07045,200926,803
07046,250000,172
07047,77269,7558
07050,41877,4554
07052,136292,4614
07054,149438,3796
07055,38496,4702
07057,87962,1851
07058,188836,432
07059,234688,720
07060,56219,4958
07062,74025,1107
07063,54219,943
07064,127833,198
07065,95313,4244
07066,136364,1905
07067,136044,1337
07068,176400,448
07069,143958,597
07070,141742,1902
07071,128507,3134
07072,110714,769
07073,116563,1799
07074,109318,216
07075,177778,1028
07076,216620,2119
07077,79167,354
07078,250000,413
07079,250000,1622
07080,133425,1523
07081,159042,1692
07082,154346,520
07083,119354,5100
07086,145682,3616
07087,47718,8528
07088,81574,442
07090,250000,2346
07092,220791,548
07093,56254,8899
07094,149844,2305
07095,125113,1912
07102,45417,3696
07103,36047,5092
07104,47056,7524
07105,40516,5690
07106,28451,4191
07107,37628,5197
07108,29810,4736
07109,83796,4264
07110,147037,3846
07111,48982,9568
07112,40169,4690
07114,42394,2221
07201,52491,2811
07202,49468,4076
07203,66309,2538
07204,82391,1619
07205,82440,1679
07206,39983,1943
07208,53261,4041
07302,233389,13453
07304,47083,6357
07305,60962,8700
07306,63067,8917
07307,86882,6450
07310,203385,3920
07311,0,605
07401,176000,400
07403,110735,932
07405,165820,1800
07407,80545,1784
07410,188534,2581
07416,136111,1170
07417,250000,614
07418,180927,270
07419,121458,1249
07420,105795,771
07421,151364,776
07422,113113,483
07423,250000,229
07424,123631,3696
07430,167583,3276
07432,159306,940
07435,163750,156
07436,171020,712
07438,165000,1609
07439,89583,197
07440,156645,365
07442,122188,1218
07444,213750,2200
07446,205598,1325
07450,244389,1702
07452,250000,412
07456,152500,823
07457,139125,862
07458,250000,611
07460,172000,380
07461,111170,1970
07462,114602,1086
07463,179522,637
07465,152368,782
07470,167468,4943
07480,149276,2075
07481,250000,1141
07501,41306,3998
07502,59776,858
07503,57056,1766
07504,70030,868
07505,15000,601
07506,124046,2116
07508,92386,1546
07512,122992,715
07513,49563,499
07514,41467,1765
07522,33652,1485
07524,35923,980
07601,74703,9246
07603,115506,760
07604,107281,1172
07605,136790,1002
07606,57448,147
07607,129053,1098
07608,0,10
07620,164167,78
07621,118418,2266
07624,172917,421
07626,204931,540
07627,250000,187
07628,117029,1714
07630,171655,427
07631,87864,3421
07632,250000,301
07640,165769,234
07641,211992,108
07642,236953,679
07643,106964,1417
07644,72733,2946
07645,189173,480
07646,141053,1724
07647,121607,229
07648,197000,507
07649,214889,417
07650,67008,1790
07652,172206,1621
07656,218464,738
07657,115923,932
07660,87392,1666
07661,156098,810
07662,135238,787
07663,138635,1579
07666,165645,3147
07670,202227,694
07675,190871,2184
07676,197778,709
07677,215417,297
07701,138056,4386
07702,193393,252
07703,0,0
07704,235909,353
07711,136250,206
07712,97364,7425
07716,163235,1609
07717,103750,430
07718,184063,630
07719,156360,3643
07720,61014,1144
07721,0,556
07722,218583,581
07723,75313,117
07724,135435,3802
07726,175339,3932
07727,112614,605
07728,162515,6388
07730,160714,1831
07731,140102,2465
07732,175665,1369
07733,223141,1204
07734,62605,1546
07735,114167,2796
07737,162779,374
07738,214018,350
07739,232802,434
07740,51875,5039
07746,215163,760
07747,142500,4207
07748,160347,2219
07750,250000,546
07751,211173,1275
07753,101327,7089
07755,119276,401
07756,0,948
07757,169792,734
07758,128365,436
07760,250000,913
07762,208625,1969
07764,113438,918
07801,73314,2216
07803,105441,340
07820,0,0
07821,150923,919
07822,96181,34
07823,96184,1415
07825,150000,839
07826,115859,585
07827,96983,531
07828,92885,1889
07830,182738,384
07831,0,0
07832,148103,220
07833,0,28
07834,180529,1669
07836,163116,993
07838,141458,350
07840,117989,4104
07842,0,0
07843,113478,1341
07844,0,30
07846,0,0
07847,72813,235
07848,134659,458
07849,136845,895
07850,99188,450
07851,0,53
07852,90063,446
07853,196767,647
07856,117236,760
07857,87902,972
07860,129412,3037
07863,119583,503
07865,131638,46
07866,165483,2539
07869,202569,2001
07870,0,0
07871,169457,1674
07874,105781,530
07876,170549,447
07878,0,101
07880,0,15
07881,0,0
07882,123385,2101
07885,85847,1470
07901,250000,2346
07920,246435,2710
07921,178676,2144
07922,236471,599
07924,250000,492
07926,0,8
07927,199136,626
07928,250000,1639
07930,228750,502
07931,141058,237
07932,179176,1490
07933,141250,182
07934,178750,113
07935,0,10
07936,143585,685
07939,0,26
07940,250000,1818
07945,250000,789
07946,219219,130
07950,172308,2913
07960,201450,7025
07961,0,0
07970,0,0
07974,210203,1105
07976,0,6
07977,223750,13
07979,0,0
07980,139119,196
07981,157250,1312
08001,170550,56
08002,130536,3237
08003,164625,2084
08004,127688,1059
08005,89517,2646
08006,0,68
08007,108875,841
08008,146875,1134
08009,106744,1650
08010,57757,1580
08011,0,0
08012,104867,5057
08014,0,0
08015,86386,2454
08016,102853,3895
08019,113839,64
08020,126806,185
08021,61832,9561
08022,163047,1056
08023,27557,41
08026,132596,152
08027,95213,635
08028,98167,2424
08029,115671,920
08030,56310,1744
08031,81190,1907
08032,0,0
08033,209229,2023
08034,132000,2531
08035,142050,1162
08036,188021,557
08037,132381,3060
08038,106208,69
08039,0,0
08041,134583,157
08042,99615,4
08043,132788,3729
08045,74167,453
08046,83291,2690
08048,155602,1383
08049,83875,839
08050,106964,3139
08051,123500,1416
08052,74292,4309
08053,143646,6449
08054,137308,6387
08055,172681,2120
08056,176964,224
08057,179179,1631
08059,87557,821
08060,104274,2874
08061,151625,142
08062,183569,1042
08063,52604,280
08064,0,23
08065,77639,1210
08066,52875,1635
08067,147344,134
08068,61716,966
08069,34000,2134
08070,83200,2013
08071,104614,1347
08072,0,38
08073,0,0
08074,0,0
08075,94216,3587
08077,141330,1523
08078,99955,1176
08079,43707,1657
08080,148561,3114
08081,88505,4468
08083,87009,991
08084,135208,730
08085,130543,1555
08086,133750,1548
08087,103325,3580
08088,141417,2604
08089,97188,344
08090,104297,613
08091,90595,746
08092,136800,277
08093,56806,1904
08094,117762,4728
08095,0,0
08096,116315,4802
08097,115926,261
08098,125741,1094
08102,24028,1485
08103,25977,1847
08104,20965,3028
08105,34685,2404
08106,114949,1547
08107,87557,2511
08108,146522,3760
08109,72610,2733
08110,76441,1595
08201,68939,1296
08202,152125,241
08203,115714,1596
08204,93393,2702
08205,84911,3898
08210,105536,2138
08212,0,43
08215,82763,1998
08217,0,0
08221,153333,649
08223,118017,503
08224,166964,11
08225,108409,964
08226,150556,2216
08230,161364,425
08232,41677,1779
08234,89573,3640
08240,0,0
08241,160833,102
08242,66821,628
08243,0,379
08244,52281,1913
08245,0,0
08246,0,0
08247,233241,203
08248,0,0
08251,52702,1369
08260,57708,2466
08270,77083,862
08302,52670,4221
08310,74318,195
08311,92986,176
08312,87757,656
08314,147672,9
08316,0,74
08317,86648,211
08318,110899,1259
08319,132891,52
08320,0,0
08321,0,43
08322,100938,645
08323,89219,61
08324,0,12
08326,99535,81
08327,0,69
08328,79750,127
08329,0,14
08330,100577,4166
08332,63958,5344
08340,95221,141
08341,64293,321
08343,196207,318
08344,97000,648
08345,0,111
08346,0,40
08348,0,0
08349,0,241
08350,0,27
08352,197632,42
08353,57083,36
08360,57904,4933
08361,103470,1729
08401,28891,7960
08402,157222,1047
08403,250000,172
08406,89737,1816
08501,200875,462
08502,224167,435
08505,114417,2188
08510,194773,285
08511,128125,108
08512,144000,1126
08514,186597,674
08515,203456,232
08518,117970,794
08520,116063,2407
08525,175859,518
08527,130481,5267
08528,0,154
08530,151071,1318
08533,123125,740
08534,191667,1345
08535,250000,202
08536,151755,2721
08540,219693,5257
08542,143750,556
08544,0,0
08550,227188,1269
08551,165938,381
08553,250000,92
08554,97500,612
08555,88214,63
08558,250000,529
08559,187227,652
08560,169868,441
08561,0,24
08562,74018,391
08608,0,319
08609,41534,1907
08610,70546,3860
08611,30655,4374
08618,41489,6130
08619,116454,3109
08620,121058,1213
08628,138333,2046
08629,47369,972
08638,58234,4091
08640,89583,184
08641,83571,132
08648,143190,3992
08690,139434,2191
08691,180764,2108
08701,56987,7531
08720,250000,48
08721,107841,2183
08722,103173,926
08723,112269,4444
08724,121806,5631
08730,207375,477
08731,114226,2788
08732,133214,249
08733,54286,281
08734,135726,516
08735,121414,1006
08736,182523,1583
08738,194219,170
08740,44853,362
08741,132500,222
08742,123571,3542
08750,182639,371
08751,0,1069
08752,125644,696
08753,116277,8133
08755,101272,3851
08757,89830,8515
08758,92810,881
08759,127262,10684
08801,250000,640
08802,161648,258
08804,138698,350
08805,70878,1786
08807,177344,3426
08809,155313,749
08810,138553,285
08812,108676,1114
08816,163194,3306
08817,111911,4198
08820,171000,1977
08821,103162,10
08822,178018,2996
08823,118906,1115
08824,172500,574
08825,130078,606
08826,165063,733
08827,119625,358
08828,100833,329
08829,111597,375
08830,138586,1403
08831,180898,7480
08832,71020,217
08833,178194,892
08835,84150,1635
08836,226447,186
08837,127969,2050
08840,164205,1467
08844,197342,3617
08846,92811,1312
08848,164300,483
08850,98158,772
08852,115638,2088
08853,206219,426
08854,130904,4047
08857,115304,4896
08858,0,0
08859,102500,2472
08861,42173,5332
08863,133843,1169
08865,86108,5282
08867,178611,189
08869,141000,1150
08872,95806,2372
08873,119005,7160
08876,135577,3219
08879,98150,3036
08880,77924,561
08882,83814,1537
08884,142844,874
08886,153068,374
08887,103113,267
08889,168661,1232
08890,0,0
